Fund Name,Correct At     (Date - dd/mm/yyyy ),ISIN Code,Fund Sedol,Current Price
T. Bailey Dynamic A Acc,02/10/2019,GB00B1LB2Z79B1LB2Z7,,82.4
T. Bailey Dynamic A Acc,03/10/2019,GB00B1LB2Z79B1LB2Z7,,82.15
T. Bailey Dynamic A Acc,04/10/2019,GB00B1LB2Z79B1LB2Z7,,81.93
T. Bailey Dynamic A Acc,07/10/2019,GB00B1LB2Z79B1LB2Z7,,81.91
T. Bailey Dynamic A Acc,08/10/2019,GB00B1LB2Z79B1LB2Z7,,82.21
T. Bailey Dynamic A Acc,09/10/2019,GB00B1LB2Z79B1LB2Z7,,82.22
T. Bailey Dynamic A Acc,10/10/2019,GB00B1LB2Z79B1LB2Z7,,82.16
T. Bailey Dynamic A Acc,11/10/2019,GB00B1LB2Z79B1LB2Z7,,82.14
T. Bailey Dynamic A Acc,14/10/2019,GB00B1LB2Z79B1LB2Z7,,82.03
T. Bailey Dynamic A Acc,15/10/2019,GB00B1LB2Z79B1LB2Z7,,81.87
T. Bailey Dynamic A Acc,16/10/2019,GB00B1LB2Z79B1LB2Z7,,81.85
T. Bailey Dynamic A Acc,17/10/2019,GB00B1LB2Z79B1LB2Z7,,81.88
T. Bailey Dynamic A Acc,18/10/2019,GB00B1LB2Z79B1LB2Z7,,81.96
T. Bailey Dynamic A Acc,21/10/2019,GB00B1LB2Z79B1LB2Z7,,82.04
T. Bailey Dynamic A Acc,22/10/2019,GB00B1LB2Z79B1LB2Z7,,81.91
T. Bailey Dynamic A Acc,23/10/2019,GB00B1LB2Z79B1LB2Z7,,81.92
T. Bailey Dynamic A Acc,24/10/2019,GB00B1LB2Z79B1LB2Z7,,81.94
T. Bailey Dynamic A Acc,25/10/2019,GB00B1LB2Z79B1LB2Z7,,81.98
T. Bailey Dynamic A Acc,28/10/2019,GB00B1LB2Z79B1LB2Z7,,82.03
T. Bailey Dynamic A Acc,29/10/2019,GB00B1LB2Z79B1LB2Z7,,82.03
T. Bailey Dynamic A Acc,30/10/2019,GB00B1LB2Z79B1LB2Z7,,81.99
T. Bailey Dynamic A Acc,31/10/2019,GB00B1LB2Z79B1LB2Z7,,82.01
T. Bailey Dynamic A Acc,01/11/2019,GB00B1LB2Z79B1LB2Z7,,82.15
T. Bailey Dynamic A Acc,04/11/2019,GB00B1LB2Z79B1LB2Z7,,82.42
T. Bailey Dynamic A Acc,05/11/2019,GB00B1LB2Z79B1LB2Z7,,82.6
T. Bailey Dynamic A Acc,06/11/2019,GB00B1LB2Z79B1LB2Z7,,82.58
T. Bailey Dynamic A Acc,07/11/2019,GB00B1LB2Z79B1LB2Z7,,82.57
T. Bailey Dynamic A Acc,08/11/2019,GB00B1LB2Z79B1LB2Z7,,82.62
T. Bailey Dynamic A Acc,11/11/2019,GB00B1LB2Z79B1LB2Z7,,82.55
T. Bailey Dynamic A Acc,12/11/2019,GB00B1LB2Z79B1LB2Z7,,82.42
T. Bailey Dynamic A Acc,13/11/2019,GB00B1LB2Z79B1LB2Z7,,82.49
T. Bailey Dynamic A Acc,14/11/2019,GB00B1LB2Z79B1LB2Z7,,82.36
T. Bailey Dynamic A Acc,15/11/2019,GB00B1LB2Z79B1LB2Z7,,82.32
T. Bailey Dynamic A Acc,18/11/2019,GB00B1LB2Z79B1LB2Z7,,82.36
T. Bailey Dynamic A Acc,19/11/2019,GB00B1LB2Z79B1LB2Z7,,82.5
T. Bailey Dynamic A Acc,20/11/2019,GB00B1LB2Z79B1LB2Z7,,82.47
T. Bailey Dynamic A Acc,21/11/2019,GB00B1LB2Z79B1LB2Z7,,82.47
T. Bailey Dynamic A Acc,22/11/2019,GB00B1LB2Z79B1LB2Z7,,82.36
T. Bailey Dynamic A Acc,25/11/2019,GB00B1LB2Z79B1LB2Z7,,82.41
T. Bailey Dynamic A Acc,26/11/2019,GB00B1LB2Z79B1LB2Z7,,82.65
T. Bailey Dynamic A Acc,27/11/2019,GB00B1LB2Z79B1LB2Z7,,82.74
T. Bailey Dynamic A Acc,28/11/2019,GB00B1LB2Z79B1LB2Z7,,82.85
T. Bailey Dynamic A Acc,29/11/2019,GB00B1LB2Z79B1LB2Z7,,82.84
T. Bailey Dynamic A Acc,02/12/2019,GB00B1LB2Z79B1LB2Z7,,82.82
T. Bailey Dynamic A Acc,03/12/2019,GB00B1LB2Z79B1LB2Z7,,82.75
T. Bailey Dynamic A Acc,04/12/2019,GB00B1LB2Z79B1LB2Z7,,82.5
T. Bailey Dynamic A Acc,05/12/2019,GB00B1LB2Z79B1LB2Z7,,82.44
T. Bailey Dynamic A Acc,06/12/2019,GB00B1LB2Z79B1LB2Z7,,82.41
T. Bailey Dynamic A Acc,09/12/2019,GB00B1LB2Z79B1LB2Z7,,82.6
T. Bailey Dynamic A Acc,10/12/2019,GB00B1LB2Z79B1LB2Z7,,82.69
T. Bailey Dynamic A Acc,11/12/2019,GB00B1LB2Z79B1LB2Z7,,82.65
T. Bailey Dynamic A Acc,12/12/2019,GB00B1LB2Z79B1LB2Z7,,82.62
T. Bailey Dynamic A Acc,13/12/2019,GB00B1LB2Z79B1LB2Z7,,83.57
T. Bailey Dynamic A Acc,16/12/2019,GB00B1LB2Z79B1LB2Z7,,83.62
T. Bailey Dynamic A Acc,17/12/2019,GB00B1LB2Z79B1LB2Z7,,83.84
T. Bailey Dynamic A Acc,18/12/2019,GB00B1LB2Z79B1LB2Z7,,84.05
